OMoD,Companies,Cantons,Zip_codes,Cities,Streets,Group,latitude,longitude
12100174,Reichle + de Massari AG,ZH,8620,Wetzikon Zh,Binzstr. 31,Remettantes,47.3299718,8.8014962
12100150,Dormakaba AG,ZH,8623,Wetzikon Zh 3,Mühlebühlstr. 23,Remettantes,47.3349618,8.806737
12100036,Frike Chemicals AG,ZH,8623,Wetzikon,Motorenstrasse 2a,Remettantes,47.3344415,8.8044072
12000265,Te Aroha Consulting AG,ZH,8636,Wald ZH,Tösstalstrasse 20,Remettantes,47.2776952,8.915194
12000066,Gafner Maschinenbau AG,ZH,8637,Laupen ZH,Chefistr. 60,Remettantes,47.2645601,8.9192544
12000041,Ueli Spörri Landmaschinen,ZH,8636,Wald Zh,Tänler,Remettantes,47.279561,8.9017556
11900018,"Villa RA, Schulheime Redlikon Aathal",ZH,8607,Aathal,Sackrain 5,Remettantes,47.331185,8.7593106
11800294,Zeochem AG,ZH,8630,Rüti,Joweid 5,Remettantes,47.2623879,8.8542102
11800251,Veloplus AG,ZH,8630,Rüti,Joweid-Zentrum 14,Remettantes,47.2634828,8.8558912
11800134,Migros,ZH,8630,Rüti,Bandwiesstr. 6,Remettantes,47.2580562,8.8489536
11700297,"Schule Hinwil, Abteilung Liegenschaften",ZH,8340,Hinwil,Dürntnerstrasse 8,Remettantes,47.3015061,8.8425883
11700102,Drogerie B. Flükiger AG,ZH,8340,Hinwil,Drogerie i. Hiwi-Märt,Remettantes,47.2991607,8.8377759
11700096,"Zweckverband Kehrichtverwertung Zürcher Oberland, Sonderabfallannahmestelle",ZH,8340,Hinwil,Wildbachstrasse 2,Remettantes,47.307831,8.8204592
11700058,Gemeinde Hinwil,ZH,8340,Hinwil,Bossikon,Remettantes,47.3073575,8.8135422
11700023,Spann-Stahl AG,ZH,8340,Hinwil,Wässeristr.,Remettantes,47.3050778,8.8215652
11700012,Zweckverband Kehrichtverwertung Zürcher Oberland,ZH,8340,Hinwil,Wildbachstrasse 2,Incinération,47.307831,8.8204592
11600007,Fripoo-Produkte,ZH,8627,Grüningen,Hüferen 8,Remettantes,47.2825462,8.756542
11500020,Künzli AG,ZH,8625,Gossau Zh,Industriestr. 2,Remettantes,47.3058369,8.7505178
11500004,Buchmann Gossau AG,ZH,8625,Gossau ZH,Grütstrasse 92,Remettantes,47.3066058,8.7650704
11500003,Stehli AG,ZH,8625,Gossau Zh,Rebhaldenstr. 4,Remettantes,47.3021579,8.7620986
11300214,Oberland Transporte GmbH,ZH,8635,Dürnten,Bodmengasse 1,Remettantes,47.2759942,8.8656069
11200079,WBC Härterei AG,ZH,8608,Bubikon,Höslistr. 23,Remettantes,47.2731885,8.8215139
11200009,Foampartner Fritz Nauer AG,ZH,8633,Wolfhausen,Oberwolfhauserstrasse 9,Remettantes,47.2565124,8.7952288
11100161,Kläsi Ofen- und Cheminéebau ,ZH,8345,Adetswil,Kemptnerstrasse 44,Remettantes,47.3349783,8.8302658
11100098,Lasercut,ZH,8344,Bäretswil  ZH,Im Neuegg 3,Remettantes,47.3338353,8.8479806
10100083,Gemeindeverwaltung Zumikon,ZH,8126,Zumikon,Dorfplatz 1,Remettantes,47.3325449,8.6241335
9700507,Nanoleq AG,ZH,8153,Rümlang,Hofwisenstrasse 50a,Remettantes,47.4493788,8.5394185
9700485,greenTEG AG,ZH,8153,Rümlang,Hofwiesenstrasse 50,Remettantes,47.4293001,8.4706229
9700322,Amavita-Apotheke GaleniCare AG,ZH,8153,Rümlang,Oberdorfstrasse 24,Remettantes,47.4509368,8.529894
9700140,Eberhard Recycling AG,ZH,8153,Rümlang,Wibachstrasse 11,Regroupement,47.4587571,8.523519
9700002,Bosshard-Farben AG,ZH,8153,Rümlang,Ifangstrasse 97,Remettantes,47.4461531,8.5388743
9600633,NKT Photonics Switzerland GmbH,ZH,8105,Regensdorf,Althardstrasse 70,Remettantes,47.4389531,8.4706358
9600411,Dr. med. Kratzer Annette,ZH,8105,Regensdorf,Holenbachstrasse 3,Remettantes,47.4308295,8.4608747
9600314,KIBAG RE AG,ZH,8105,Regensdorf,Moosäckerstrasse 61,Regroupement,47.4385395,8.4552592
9600270,Immark AG,ZH,8105,Regensdorf,Bahnstrasse 142,Remettantes,47.4453932,8.4576784
9600058,Benninger Max,ZH,8105,Watt,Niederhaslistr. 10,Remettantes,47.4437258,8.4820485
9400096,Philochem AG,ZH,8112,Otelfingen,Libernstrasse 3,Remettantes,47.4577372,8.4012406
9400044,Silent AG,ZH,8112,Otelfingen,Mattenstr. 2,Remettantes,47.4582273,8.4049129
9400019,Gemeindeverwaltung,ZH,8112,Otelfingen,Vorderdorfstr. 40,Remettantes,47.4627338,8.3880372
9200100,Ebipark,ZH,8154,Oberglatt,Breitloostrasse 5,Regroupement,47.4789985,8.5017448
9200052,Morf Karl AG,ZH,8154,Oberglatt,Aspstr. 6,Remettantes,47.4817193,8.502708
9200015,Egli Ernst,ZH,8154,Oberglatt Zh,Grafschaftstr. 8,Remettantes,47.4790593,8.5263487
8900031,Allega GmbH,ZH,8172,Niederglatt ZH,Seeblerstrasse,Remettantes,47.4840913,8.4993316
8900002,ISCO Flexibles AG,ZH,8172,Niederglatt Zh,Bahnhofstrasse 806,Remettantes,47.4881178,8.5022351
8800002,Johann Jucker,ZH,8173,Neerach,Zürcherstr. 4,Remettantes,47.5130267,8.4745741
8600168,SYNLAB Analytics & Services Switzerland AG,ZH,8157,Dielsdorf / ZH,Brüelstrasse 14,Remettantes,47.4818032,8.4674637
8600091,Wespi Peter,ZH,8157,Dielsdorf,Früeblistrasse 3,Remettantes,47.48132,8.4540399
8600003,Senn Chemicals AG,ZH,8157,Dielsdorf,Guido Senn-Strasse 1,Remettantes,47.4811491,8.4652207
8300039,Texolit AG,ZH,8107,Buchs,Furtbachstrasse 5,Remettantes,47.4511985,8.4319299
6900565,Cleaning Store Company AG,ZH,8403,Wallisellen,Widenholzstrasse 6,Remettantes,47.4117987,8.6145998
6700032,Matzinger Landmaschinen,ZH,8197,Rafz,vor Eiche 7,Remettantes,47.6023248,8.5408461
6600335,Top Service Textil Reinigung GmbH,ZH,8152,Glattbrugg,Wallisellerstrasse 17,Remettantes,47.4340542,8.5686361
6600323,Line Tech AG,ZH,8152,Glattbrugg,Europastrasse 19,Remettantes,47.433226,8.5616394
6600001,Belfa AG,ZH,8152,Glattbrugg,Flughofstrasse 52,Remettantes,47.4378155,8.5630222
6200480,Invenimus ,ZH,8302,Kloten,Industriestrasse 30,Remettantes,47.4501583,8.5925631
6200360,IBAG AG,ZH,8302,Kloten,Oberfeldstrasse 20,Remettantes,47.4482002,8.5951059
6200143,Opo Öschger AG,ZH,8302,Kloten,Steinackerstr. 68,Remettantes,47.4465217,8.6054401
6200093,Helene Mara,ZH,8302,Kloten,Hohrainlistr. 41,Remettantes,47.4592608,8.5824166
6200071,Flughafen Zürich AG,ZH,8058,Zürich-Flughafen,Rohrstrasse 500,Remettantes,47.4455364,8.5525851
6200020,Heidelberger Industrie-,ZH,8302,Kloten,Steinackerstr. 33,Remettantes,47.4491986,8.5995747
6000082,Moto 91,ZH,8181,Höri,Grabenackerstr 1,Remettantes,47.4597462,8.4908878
5800001,Kraftwerk Eglisau-Glattfelden AG,ZH,8192,Zweidlen,Rheinsfelderstrasse 35,Remettantes,47.5738213,8.4733472
5600082,Diener AG,ZH,8424,Embrach,Stationsstr. 66,Remettantes,47.5156989,8.5902295
5500065,Serge Ferrari AG,ZH,8193,Eglisau,Wasterkingerweg 2,Remettantes,47.5811915,8.5081088
5500009,Landmaschinenstation Eglisau AG,ZH,8193,Eglisau,Zürcherstrasse 44,Remettantes,47.5686038,8.5223988
5400032,Luzi AG,ZH,8305,Dietlikon,Riedwiesenstrasse 5,Remettantes,47.4122802,8.6242028
5300287,"Arcadens, Zahnärzte",ZH,8180,Bülach,Winterthurerstr. 11,Remettantes,47.5205359,8.5419465
5300161,Biotronik Schweiz AG,ZH,8180,Bülach,Ackerstrasse 6,Remettantes,47.5087114,8.5426168
5300152,Stadtverwaltung Bülach,ZH,8180,Bülach,Murgasse,Remettantes,47.5192298,8.5282
5200106,Dyconex AG,ZH,8303,Bassersdorf,Grindelstrasse 40,Remettantes,47.4438496,8.6157048
5100104,Kissling AG,ZH,8184,Bachenbülach,Weieracherstrasse 3,Remettantes,47.5051291,8.5398762
